"order_year";"order_month";"product_category";"total_orders"
2016;9;"beleza_saude";3
2016;10;"moveis_decoracao";65
2016;10;"beleza_saude";40
2016;10;"perfumaria";29
2016;10;"brinquedos";24
2016;10;"esporte_lazer";17
2016;10;"utilidades_domesticas";12
2016;10;"informatica_acessorios";12
2016;10;"bebes";11
2016;10;"market_place";11
2016;10;"telefonia";8
2016;10;"cama_mesa_banho";8
2016;10;"fashion_bolsas_e_acessorios";8
2016;10;"climatizacao";8
2016;10;"automotivo";8
2016;10;"consoles_games";7
2016;10;"cool_stuff";7
2016;10;"moveis_escritorio";6
2016;10;"ferramentas_jardim";5
2016;10;"telefonia_fixa";5
2016;10;"industria_comercio_e_negocios";4
2016;10;"relogios_presentes";4
2016;10;"pet_shop";4
2016;10;"";2
2016;10;"audio";2
2016;10;"fashion_calcados";1
2016;10;"fashion_roupa_masculina";1
2016;10;"alimentos";1
2016;10;"eletronicos";1
2016;10;"fraldas_higiene";1
2016;10;"fashion_roupa_feminina";1
2016;12;"fashion_bolsas_e_acessorios";1
2017;1;"moveis_decoracao";177
2017;1;"beleza_saude";82
2017;1;"esporte_lazer";74
2017;1;"ferramentas_jardim";54
2017;1;"cama_mesa_banho";46
2017;1;"brinquedos";41
2017;1;"bebes";40
2017;1;"cool_stuff";37
2017;1;"fashion_bolsas_e_acessorios";35
2017;1;"perfumaria";34
2017;1;"informatica_acessorios";31
2017;1;"automotivo";31
2017;1;"utilidades_domesticas";28
2017;1;"telefonia";22
2017;1;"telefonia_fixa";22
2017;1;"consoles_games";21
2017;1;"pet_shop";14
2017;1;"papelaria";14
2017;1;"";12
2017;1;"eletronicos";11
2017;1;"relogios_presentes";11
2017;1;"moveis_sala";10
2017;1;"moveis_escritorio";8
2017;1;"moveis_quarto";8
2017;1;"eletrodomesticos_2";7
2017;1;"eletroportateis";6
2017;1;"market_place";5
2017;1;"malas_acessorios";5
2017;1;"climatizacao";4
2017;1;"agro_industria_e_comercio";3
2017;1;"musica";2
2017;1;"dvds_blu_ray";2
2017;1;"fashion_underwear_e_moda_praia";2
2017;1;"alimentos";2
2017;1;"fashion_roupa_feminina";2
2017;1;"livros_interesse_geral";2
2017;1;"casa_conforto_2";2
2017;1;"fashion_calcados";1
2017;1;"moveis_cozinha_area_de_servico_jantar_e_jardim";1
2017;1;"pcs";1
2017;1;"instrumentos_musicais";1
2017;1;"fashion_roupa_masculina";1
2017;1;"seguros_e_servicos";1
2017;2;"moveis_decoracao";257
2017;2;"cama_mesa_banho";157
2017;2;"beleza_saude";154
2017;2;"esporte_lazer";149
2017;2;"telefonia";106
2017;2;"informatica_acessorios";100
2017;2;"automotivo";83
2017;2;"ferramentas_jardim";69
2017;2;"utilidades_domesticas";69
2017;2;"cool_stuff";69
2017;2;"brinquedos";66
2017;2;"moveis_escritorio";62
2017;2;"";56
2017;2;"perfumaria";49
2017;2;"pet_shop";39
2017;2;"fashion_bolsas_e_acessorios";36
2017;2;"relogios_presentes";33
2017;2;"bebes";32
2017;2;"eletroportateis";28
2017;2;"telefonia_fixa";22
2017;2;"moveis_sala";21
2017;2;"malas_acessorios";20
2017;2;"market_place";20
2017;2;"eletronicos";19
2017;2;"papelaria";19
2017;2;"consoles_games";18
2017;2;"climatizacao";11
2017;2;"instrumentos_musicais";9
2017;2;"tablets_impressao_imagem";8
2017;2;"fashion_underwear_e_moda_praia";8
2017;2;"livros_interesse_geral";8
2017;2;"alimentos";8
2017;2;"eletrodomesticos";7
2017;2;"agro_industria_e_comercio";7
2017;2;"fashion_roupa_masculina";6
2017;2;"audio";5
2017;2;"casa_construcao";4
2017;2;"fashion_roupa_feminina";3
2017;2;"construcao_ferramentas_construcao";3
2017;2;"casa_conforto";3
2017;2;"fashion_calcados";3
2017;2;"construcao_ferramentas_jardim";2
2017;2;"moveis_cozinha_area_de_servico_jantar_e_jardim";2
2017;2;"industria_comercio_e_negocios";1
2017;2;"eletrodomesticos_2";1
2017;2;"dvds_blu_ray";1
2017;2;"livros_tecnicos";1
2017;2;"cine_foto";1
2017;2;"moveis_quarto";1
2017;2;"construcao_ferramentas_seguranca";1
2017;2;"pcs";1
2017;3;"moveis_decoracao";315
2017;3;"cama_mesa_banho";279
2017;3;"beleza_saude";208
2017;3;"utilidades_domesticas";196
2017;3;"esporte_lazer";190
2017;3;"informatica_acessorios";171
2017;3;"telefonia";165
2017;3;"ferramentas_jardim";146
2017;3;"cool_stuff";118
2017;3;"perfumaria";105
2017;3;"brinquedos";102
2017;3;"relogios_presentes";79
2017;3;"automotivo";78
2017;3;"moveis_escritorio";74
2017;3;"fashion_bolsas_e_acessorios";66
2017;3;"";60
